Train_No,Start_Station_Code,Start_Station_Name,End_Station_Code,End_Station_Name,Total_Stops,Total_Distance_km
97305,CSMT,CST-MUMBAI,TNA,THANE,17,33
97306,TNA,THANE,CSMT,CST-MUMBAI,17,33
97307,CSMT,CST-MUMBAI,TNA,THANE,17,33
97308,TNA,THANE,CSMT,CST-MUMBAI,17,33
97309,CSMT,CST-MUMBAI,TNA,THANE,17,33
97310,TNA,THANE,CSMT,CST-MUMBAI,17,33
97311,CSMT,CST-MUMBAI,TNA,THANE,17,33
97312,TNA,THANE,CSMT,CST-MUMBAI,17,33
97313,CSMT,CST-MUMBAI,TNA,THANE,17,33
97314,TNA,THANE,CSMT,CST-MUMBAI,17,33
97315,CSMT,CST-MUMBAI,TNA,THANE,17,33
97316,TNA,THANE,CSMT,CST-MUMBAI,17,33
97317,CSMT,CST-MUMBAI,TNA,THANE,17,33
97318,TNA,THANE,CSMT,CST-MUMBAI,17,33
97319,CSMT,CST-MUMBAI,TNA,THANE,17,33
97320,TNA,THANE,CSMT,CST-MUMBAI,17,33
97321,CSMT,CST-MUMBAI,TNA,THANE,17,33
97322,TNA,THANE,CSMT,CST-MUMBAI,17,33
97323,CSMT,CST-MUMBAI,TNA,THANE,17,33
97324,TNA,THANE,CSMT,CST-MUMBAI,17,33
97325,CSMT,CST-MUMBAI,TNA,THANE,17,33
97326,TNA,THANE,CSMT,CST-MUMBAI,17,33
97327,CSMT,CST-MUMBAI,TNA,THANE,17,33
97328,TNA,THANE,CSMT,CST-MUMBAI,17,33
97329,CSMT,CST-MUMBAI,TNA,THANE,17,33
97330,TNA,THANE,CSMT,CST-MUMBAI,17,33
97331,CSMT,CST-MUMBAI,TNA,THANE,17,33
97332,TNA,THANE,CSMT,CST-MUMBAI,17,33
97333,CSMT,CST-MUMBAI,TNA,THANE,17,33
97334,TNA,THANE,CSMT,CST-MUMBAI,17,33
97335,CSMT,CST-MUMBAI,TNA,THANE,17,33
97336,TNA,THANE,CSMT,CST-MUMBAI,17,33
97337,CSMT,CST-MUMBAI,TNA,THANE,17,33
97338,TNA,THANE,CSMT,CST-MUMBAI,17,33
97339,CSMT,CST-MUMBAI,TNA,THANE,17,33
97340,TNA,THANE,CSMT,CST-MUMBAI,17,33
97341,CSMT,CST-MUMBAI,TNA,THANE,17,33
97342,TNA,THANE,CSMT,CST-MUMBAI,17,33
97343,CSMT,CST-MUMBAI,TNA,THANE,17,33
97344,TNA,THANE,CSMT,CST-MUMBAI,17,33
97345,CSMT,CST-MUMBAI,TNA,THANE,17,33
97346,TNA,THANE,CSMT,CST-MUMBAI,17,33
97347,CSMT,CST-MUMBAI,TNA,THANE,17,33
97348,TNA,THANE,CSMT,CST-MUMBAI,17,33
97349,CSMT,CST-MUMBAI,TNA,THANE,17,33
97350,TNA,THANE,CSMT,CST-MUMBAI,17,33
97351,CSMT,CST-MUMBAI,TNA,THANE,17,33
97352,TNA,THANE,CSMT,CST-MUMBAI,17,33
97353,CSMT,CST-MUMBAI,TNA,THANE,17,33
97354,TNA,THANE,CSMT,CST-MUMBAI,17,33
97355,CSMT,CST-MUMBAI,TNA,THANE,17,33
97356,TNA,THANE,CSMT,CST-MUMBAI,17,33
97357,CSMT,CST-MUMBAI,TNA,THANE,17,33
97358,TNA,THANE,CSMT,CST-MUMBAI,17,33
97359,CSMT,CST-MUMBAI,TNA,THANE,17,33
97360,TNA,THANE,CSMT,CST-MUMBAI,17,33
97361,CSMT,CST-MUMBAI,TNA,THANE,17,33
97362,TNA,THANE,CSMT,CST-MUMBAI,17,33
97363,CSMT,CST-MUMBAI,TNA,THANE,17,33
97364,TNA,THANE,CSMT,CST-MUMBAI,17,33
97365,CSMT,CST-MUMBAI,TNA,THANE,17,33
97366,TNA,THANE,CSMT,CST-MUMBAI,17,33
97367,CSMT,CST-MUMBAI,TNA,THANE,17,33
97368,TNA,THANE,CSMT,CST-MUMBAI,17,33
97369,CSMT,CST-MUMBAI,TNA,THANE,17,33
97370,TNA,THANE,CSMT,CST-MUMBAI,17,33
97371,CSMT,CST-MUMBAI,TNA,THANE,17,33
97372,TNA,THANE,CSMT,CST-MUMBAI,17,33
97373,CSMT,CST-MUMBAI,TNA,THANE,17,33
97374,TNA,THANE,CSMT,CST-MUMBAI,17,33
97375,DR,DADAR,TNA,THANE,10,24
97376,TNA,THANE,CSMT,CST-MUMBAI,17,33
97377,CSMT,CST-MUMBAI,TNA,THANE,17,33
97378,TNA,THANE,CSMT,CST-MUMBAI,17,33
97379,CSMT,CST-MUMBAI,TNA,THANE,17,33
97380,TNA,THANE,CSMT,CST-MUMBAI,17,33
97381,CSMT,CST-MUMBAI,TNA,THANE,17,33
97382,TNA,THANE,CSMT,CST-MUMBAI,17,33
97383,CSMT,CST-MUMBAI,TNA,THANE,17,33
97384,TNA,THANE,DR,DADAR,10,24
97385,CSMT,CST-MUMBAI,TNA,THANE,17,33
97386,TNA,THANE,CSMT,CST-MUMBAI,17,33
97387,CSMT,CST-MUMBAI,TNA,THANE,17,33
97388,TNA,THANE,CSMT,CST-MUMBAI,17,33
97389,CSMT,CST-MUMBAI,TNA,THANE,17,33
97390,TNA,THANE,CSMT,CST-MUMBAI,17,33
97391,CSMT,CST-MUMBAI,TNA,THANE,17,33
97392,TNA,THANE,CSMT,CST-MUMBAI,17,33
97393,CSMT,CST-MUMBAI,TNA,THANE,17,33
97394,TNA,THANE,CSMT,CST-MUMBAI,17,33
97395,CSMT,CST-MUMBAI,TNA,THANE,17,33
97396,TNA,THANE,CSMT,CST-MUMBAI,17,33
97397,CSMT,CST-MUMBAI,TNA,THANE,17,33
97398,TNA,THANE,CSMT,CST-MUMBAI,17,33
97399,CSMT,CST-MUMBAI,TNA,THANE,17,33
97400,TNA,THANE,CSMT,CST-MUMBAI,17,33
97401,CSMT,CST-MUMBAI,TNA,THANE,17,33
97402,TNA,THANE,CSMT,CST-MUMBAI,17,33
97403,CSMT,CST-MUMBAI,TNA,THANE,17,33
97404,TNA,THANE,CSMT,CST-MUMBAI,17,33
97405,CSMT,CST-MUMBAI,TNA,THANE,17,33
97406,TNA,THANE,DR,DADAR,10,24
97407,CSMT,CST-MUMBAI,TNA,THANE,17,33
97408,TNA,THANE,CSMT,CST-MUMBAI,17,33
97409,DR,DADAR,TNA,THANE,10,24
97410,TNA,THANE,DR,DADAR,10,24
97411,CSMT,CST-MUMBAI,TNA,THANE,17,33
97412,TNA,THANE,CSMT,CST-MUMBAI,17,33
97413,CSMT,CST-MUMBAI,TNA,THANE,17,33
97414,TNA,THANE,CSMT,CST-MUMBAI,17,33
97415,DR,DADAR,TNA,THANE,10,24
97416,TNA,THANE,CSMT,CST-MUMBAI,17,33
97417,CSMT,CST-MUMBAI,TNA,THANE,17,33
97418,TNA,THANE,CSMT,CST-MUMBAI,17,33
